Question Type,Question,Human_Answer
Probability,"Explain what is wrong with the following statements. Use complete sentences.
1. If there is a 60% chance of rain on Saturday and a 70% chance of rain on Sunday, then there
is a 130% chance of rain over the weekend.
2. The probability that a baseball player hits a home run is greater than the probability that he
gets a successful hit. ","1. You can’t calculate the joint probability knowing the probability of both events occurring,
which is not in the information given; the probabilities should be multiplied, not added; and
probability is never greater than 100%
2. A home run by definition is a successful hit, so he has to have at least as many successful hits
as home runs. "
Probability,"Let event C = taking an English class. Let event D = taking a speech class.
Suppose P(C) = 0.75, P(D) = 0.3, P(C|D) = 0.75 and P(C AND D) = 0.225.
Justify your answers to the following questions numerically. 
1. Are C and D independent?
2. Are C and D mutually exclusive?
3. What is P(D|C)? ","1. Yes, because P(C|D) = P(C).
2. No, because P(C AND D) is not equal to zero.
3. P(D|C) = P(C AND D) / P(C)= 0.225/0.75= 0.3 "
Probability,"An experiment consists of tossing a nickel, a dime, and a quarter. Of interest is the side the coin
lands on.
1. List the sample space.
2. Let A be the event that there are at least two tails. Find P(A).
3. Let B be the event that the first and second tosses land on heads. Are the events A
and B mutually exclusive? Explain your answer in one to three complete sentences,
including justification. ","1. S = {(HHH), (HHT), (HTH), (HTT), (THH), (THT), (TTH), (TTT)}
2. 4/8
3. Yes, because if A has occurred, it is impossible to obtain two tails. In other words, P(A
AND B) = 0. "
Probability,"Roll one fair, six-sided die. The sample space is {1, 2, 3, 4, 5, 6}. Let event A = a face is odd. Then A =
{1, 3, 5}. Let event B = a face is even. Then B = {2, 4, 6}.
• Find the complement of A, A′. The complement of A, A′, is B because A and B together make
up the sample space. P(A) + P(B) = P(A) + P(A′) = 1. Also, P(A) = 3/6 and P(B) = 3/6 .
• Let event C = odd faces larger than two. Then C = {3, 5}. Let event D = all even faces smaller
than five. Then D = {2, 4}. P(C AND D) = 0 because you cannot have an odd and even face at
the same time. Therefore, C and D are mutually exclusive events.
• Let event E = all faces less than five. E = {1, 2, 3, 4}.
Are C and E mutually exclusive events? (Answer yes or no.) Why or why not? ","No. C = {3, 5} and E = {1, 2, 3, 4}. P(C AND E) = 1/6. To be mutually exclusive, P(C AND E) must be
zero.
We can also find P(C|A), a conditional probability. Recall that the event C is {3, 5} and event A is {1, 3,
5}. To find P(C|A), find the probability of C using the sample space A. You have reduced the sample
space from the original sample space {1, 2, 3, 4, 5, 6} to {1, 3, 5}. So, P(C|A) = 2/3. "
Probability,"United Blood Services is a blood bank that serves more than 500 hospitals in 18 states. According
to their website, a person with type O blood and a negative Rh factor (Rh-) can donate blood to
any person with any blood type. Their data show that 43% of people have type O blood and 15% of
people have Rh- factor; 52% of people have type O or Rh- factor.
1. Find the probability that a person has both type O blood and the Rh- factor.
2. Find the probability that a person does NOT have both type O blood and the Rh- factor. ","1. P(type O OR Rh-) = P(type O) + P(Rh-) – P(type O AND Rh-)
0.52 = 0.43 + 0.15 – P(type O AND Rh-); solve to find P(type O AND Rh-) = 0.06
6% of people have type O, Rh- blood
2. P(NOT(type O AND Rh-)) = 1 – P(type O AND Rh-) = 1 – 0.06 = 0.94
94% of people do not have type O, Rh- blood "
Probability,"In a basketball arena,
• 70% of the fans are rooting for the home team.
• 25% of the fans are wearing blue.
• 20% of the fans are wearing blue and are rooting for the away team.
• Of the fans rooting for the away team, 67% are wearing blue.
Let A be the event that a fan is rooting for the away team. 
Let B be the event that a fan is wearing blue.
Are the events of rooting for the away team and wearing blue independent? Are they mutually
exclusive?","P(B|A) = 0.67
P(B) = 0.25
So P(B) does not equal P(B|A) which means that B and A are not independent (wearing blue and
rooting for the away team are not independent). They are also not mutually exclusive, because P(B
AND A) = 0.20, not 0. "
Probability,"A school has 200 seniors of whom 140 will be going to college next year. Forty will be going directly to work. 
The remainder are taking a gap year. Of the seniors going to college, fifty play sports. Of the seniors going
 directly to work, thirty play sports. Five of the seniors taking a gap year play sports.

1. What is the probability that a senior is taking a gap year?
2. Are “taking a gap year” and “playing sports” independent events?
3. Are “going to college” and “taking a gap year” independent events?","1. (200 - 140 - 40) / 200 = 20 / 200 = 0.1

2. Let A = “taking a gap year” and B = “playing sports.”
P(A) = 0.1 from step one.
P(B) = (50 + 30 + 5) / 200 = 85 / 200 = 0.425
P(A) × P(B) = 0.1 × 0.425 = 0.0425
P(A AND B) = 5 / 200 = 0.025
Since 0.0425 is not equal to 0.025, the events are not independent.

3. Let A = “taking a gap year” and B = “going to college.”
P(A) = 0.1
P(B) = 140 / 200 = 0.7
P(A) × P(B) = 0.1 × 0.7 = 0.07
P(A AND B) = 0
Since 0.07 is not equal to 0, the events are not independent.

They are, however, mutually exclusive."
Probability,"A hospital researcher is interested in the number of times the average post-op patient will ring the nurse 
during a 12-hour shift. For a random sample of 50 patients, the following information was obtained. What is the expected value?

x	|.  P(x)
0	| P(0)=4/50
1	| P(1)=8/50
2	| P(2)=16/50
3	| P(3)=14/50
4	| P(4)=6/50
5	| P(5)=2/50","Since 
0⋅4/50+1⋅8/50+2⋅16/50+3⋅14/50+4⋅6/50+5⋅2/50=2.32, the expected value is 2.32. This means that 
over many days and weeks in the hospital, post-op patients will ring the nurse an average of 2.32 times per 12-hour shift.

We write the mean as μ=2.32, and when referring to the random variable X = the number of times the 
average post-op patient will ring the nurse during a 12-hour shift, we write E[X]=2.32."
Probability,"You are playing a game by drawing a card from a standard deck and replacing it. If the card is a face card, you win $30. 
If it is not a face card, you pay $2. There are 12 face cards in a deck of 52 cards. Should you play the game?","Yes, because there is a positive expected value, and the more you play, the more likely you are to get closer to the expected value."
Probability,"A venture capitalist, willing to invest $1,000,000, has three investments to choose from. The first investment, a software company, 
has a 10% chance of returning $5,000,000 profit, a 30% chance of returning $1,000,000 profit, and a 60% chance of losing the 
million dollars. The second company, a hardware company, has a 20% chance of returning $3,000,000 profit, a 40% chance of 
returning $1,000,000 profit, and a 40% chance of losing the million dollars. The third company, a biotech firm, has a 10% chance 
of returning $6,000,000 profit, a 70% of no profit or loss, and a 20% chance of losing the million dollars.

1. Construct a PDF for each investment.
2. Find the expected value for each investment.
3. Which is the safest investment? Why do you think so?
4. Which is the riskiest investment? Why do you think so?
5. Which investment has the highest expected return, on average?","
1. Software Company
x                  |.  P(x)
5,000,000    |    0.10
1,000,000    |   0.30
–1,000,000  |      0.60

Hardware Company
x                  |   P(x)
3,000,000    |    0.20
1,000,000    |   0.40
–1,000,00    |    0.40
Biotech Firm
x                  |  P(x)
6,00,000      | 0.10
0                  | 0.70
–1,000,000  |     0.20

2. $200,000; $600,000; $400,000
3. third investment because it has the lowest probability of loss
4. first investment because it has the highest probability of loss
5. second investment"
